depth	sediment_density
0,005	2,24475772309625
0,015	2,2712706608073
0,025	2,2683853341537
0,035	2,27949583502061
0,045	2,29766379582718
0,06	2,28314108259616
0,08	2,29189742567645
0,10	2,29675488264659
0,12	2,31211730661073
0,14	2,32459993562724
