time	value
0,206487823439876	0,005714285714286
0,209218036529687	0,002142857142857
0,21740867579908	0,003571428571429
0,220445205479456	0,003571428571429
0,228424657534247	0,003571428571429
0,234417808219178	0,007142857142857
0,244843987823438	0,003571428571429
0,28593036529681	0,002857142857143
0,294320776255714	0,010714285714286
0,30812785388128	0,013571428571429
0,310616438356164	0,009285714285714
0,316019786910189	0,014285714285714
0,321993911719948	0,017142857142857
0,354737442922368	0,010714285714286
0,363042237442916	0,020714285714286
0,371090182648395	0,006428571428571
0,381849315068493	0,042142857142857
0,387610350076104	0,016428571428572
0,38765220700152	0,032857142857143
0,387869101978698	0,037857142857143
0,396061643835616	0,018571428571429
0,398535007610359	0,032142857142857
0,412064307458138	0,011428571428572
0,428595890410959	0,02
0,43972602739726	0,019285714285714
0,459113394216138	0,055714285714286
0,464611872146125	0,040714285714286
0,47545662100456	0,046428571428572
0,475675418569263	0,024285714285714
0,483291476407911	0,057142857142857
0,483489345509897	0,027142857142857
0,488711948249623	0,034285714285714
0,516419330289191	0,040714285714286
0,53281963470319	0,04
0,535762937595128	0,071428571428572
0,541210045662094	0,065
0,543607305936066	0,047142857142857
0,552045281582962	0,061428571428572
0,560287290715376	0,047142857142857
0,579360730593609	0,026428571428572
0,58209474885845	0,053571428571429
0,593150684931507	0,058571428571429
0,601255707762564	0,047142857142857
0,609830669710797	0,055
0,612014840182642	0,078571428571429
0,617979452054795	0,054285714285714
0,6287195585997	0,085714285714286
0,637087138508381	0,085714285714286
0,639472983257222	0,107142857142857
0,644878234398792	0,052857142857143
0,669843987823438	0,078571428571429
0,670062785388121	0,092857142857143
0,677949010654495	0,045714285714286
0,686219558599688	0,078571428571429
0,694663242009139	0,078571428571429
0,705422374429217	0,053571428571429
0,713814687975646	0,085714285714286
0,716105403348545	0,157142857142857
0,719233257229833	0,006428571428571
0,746784627092851	0,03
0,757420091324208	0,013571428571429
0,76537861491628	0,017857142857143
0,771175799086751	0,009285714285714
0,77411529680366	0,022857142857143
0,782477168949765	0,028571428571429
0,796162480974135	0,027857142857143
0,8016894977169	0,02
0,809811643835624	0,035
0,823544520547945	0,02
0,842450532724495	0,025714285714286
0,847916666666673	0,020714285714286
0,850513698630137	0,024285714285714
0,858808980213099	0,051428571428572
0,859075342465753	0,025714285714286
0,870062785388121	0,025714285714286
0,90015220700152	0,033571428571429
0,907851978691019	0,053571428571429
0,918833713850831	0,029285714285714
0,924914383561644	0,025714285714286
0,927197488584481	0,022857142857143
0,929819254185693	0,022142857142857
0,935844748858454	0,043571428571429
0,943807077625577	0,02
0,94394596651446	0,026428571428572
