depth	O2
0,0002	0,144453399658203
0,0004	0,126097602844238
0,0006	0,108658401489258
0,0008	0,095037803649902
0,001	0,083203399658203
0,0012	0,067599601745606
0,0014	0,042382598876953
0,0016	0,023253000259399
0,0018	0,012665599822998
0,002	0,004626800060272
0,0022	0
0,0024	0
0,0026	0
0,0028	0
0,003	0
