depth	NO3
0,005	0,005951612903226
0,015	0,002608870967742
0,025	0,003987903225806
0,035	0,003616935483871
0,045	0,004866935483871
0,06	0,002322580645161
0,08	0,002137096774194
0,10	0,001278225806452
0,12	0,002120967741935
0,14	0,00370564516129
