depth	OM
0,005	16,1326403215612
0,015	14,8925037184174
0,025	15,0295365500238
0,035	14,5297335615286
0,045	13,7112358405653
0,06	14,3509432410023
0,08	13,9573657862704
0,10	13,7356521217002
0,12	13,0533971798902
0,14	12,5130666798803
