depth	Fe_2
0,005	0,026884057971015
0,015	0,044057971014493
0,025	0,01304347826087
0,035	0,013333333333333
0,045	0,008695652173913
0,06	0,015942028985507
0,08	0,022101449275362
0,10	0,02304347826087
0,12	0,029565217391304
0,14	0,033478260869565
