time	temperature
0,206487823439876	4
0,209218036529687	3
0,21740867579908	5
0,220445205479456	7
0,228424657534247	5
0,234417808219178	5
0,244843987823438	7
0,28593036529681	6
0,294320776255714	8
0,30812785388128	9
0,310616438356164	8
0,316019786910189	8
0,316672374429229	9
0,321993911719948	10
0,354737442922368	10
0,363042237442916	7
0,371090182648395	10
0,381849315068493	9
0,387610350076104	12
0,38765220700152	9
0,387869101978698	9
0,396061643835616	10
0,398535007610359	12
0,412064307458138	11
0,428595890410959	10
0,43972602739726	11
0,459113394216138	9
0,464611872146125	10
0,47545662100456	12
0,475675418569263	12
0,483291476407911	10
0,483489345509897	13
0,488711948249623	12
0,516419330289191	11
0,53281963470319	12
0,535762937595128	11
0,541210045662094	11
0,543607305936066	13
0,552045281582962	13
0,560287290715376	13
0,579360730593609	11
0,58209474885845	14
0,593150684931507	11
0,601255707762564	13
0,609830669710797	12
0,612014840182642	13
0,617979452054795	14
0,6287195585997	14
0,637087138508381	13
0,639472983257222	12
0,644878234398792	16
0,669843987823438	12
0,670062785388121	13
0,677949010654495	16
0,686219558599688	13
0,694663242009139	15
0,705422374429217	16
0,713814687975646	14
0,716105403348545	12
0,719233257229833	15
0,746784627092851	14
0,757420091324208	17
0,76537861491628	13
0,771175799086751	15
0,77411529680366	14
0,782477168949765	15
0,796162480974135	13
0,8016894977169	12
0,809811643835624	13
0,823544520547945	12
0,842450532724495	9
0,847916666666673	9
0,850513698630137	10
0,858808980213099	10
0,859075342465753	8
0,870062785388121	8
0,90015220700152	6
0,907851978691019	5
0,918833713850831	6
0,924914383561644	5
0,927197488584481	6
0,929819254185693	3
0,935844748858454	5
0,943807077625577	3
0,94394596651446	5
