time	value
0,206487823439876	0,36875
0,209218036529687	0,384375
0,21740867579908	0,446875
0,220445205479456	0,4
0,228424657534247	0,4125
0,234417808219178	0,384375
0,244843987823438	0,359375
0,28593036529681	0,453125
0,294320776255714	0,29375
0,30812785388128	0,2625
0,310616438356164	0,3375
0,316019786910189	0,240625
0,316672374429229	0,25625
0,321993911719948	0,13125
0,354737442922368	0,26875
0,363042237442916	0,171875
0,371090182648395	0,028125
0,381849315068493	0,034375
0,387610350076104	0,225
0,38765220700152	0,053125
0,387869101978698	0,053125
0,396061643835616	0,153125
0,398535007610359	0,05
0,412064307458138	0,021875
0,428595890410959	0
0,43972602739726	0,171875
0,459113394216138	0
0,464611872146125	0,00625
0,47545662100456	0
0,475675418569263	0
0,483291476407911	0
0,483489345509897	0
0,488711948249623	0
0,516419330289191	0
0,53281963470319	0
0,535762937595128	0
0,541210045662094	0
0,543607305936066	0
0,552045281582962	0
0,560287290715376	0
0,579360730593609	0
0,58209474885845	0
0,593150684931507	0
0,601255707762564	0
0,609830669710797	0
0,612014840182642	0
0,617979452054795	0
0,6287195585997	0
0,637087138508381	0
0,639472983257222	0
0,644878234398792	0
0,669843987823438	0
0,670062785388121	0
0,677949010654495	0
0,686219558599688	0
0,694663242009139	0,0125
0,705422374429217	0
0,713814687975646	0
0,716105403348545	0
0,719233257229833	0,2375
0,746784627092851	0,053125
0,757420091324208	0,00625
0,76537861491628	0,171875
0,771175799086751	0,23125
0,77411529680366	0,14375
0,782477168949765	0,0625
0,796162480974135	0,146875
0,8016894977169	0,221875
0,809811643835624	0,14375
0,823544520547945	0,240625
0,842450532724495	0,203125
0,847916666666673	0,234375
0,850513698630137	0,265625
0,858808980213099	0,153125
0,859075342465753	0,246875
0,870062785388121	0,278125
0,90015220700152	0,259375
0,907851978691019	0,2625
0,918833713850831	0,33125
0,924914383561644	0,284375
0,927197488584481	0,31875
0,929819254185693	0,35
0,935844748858454	0,284375
0,943807077625577	0,340625
0,94394596651446	0,321875
